row,score,flagged
0,0.322121,0
1,0.319061,0
2,0.321904,0
3,0.317162,0
4,0.328691,1
5,0.326185,0
6,0.315671,0
7,0.339917,1
8,0.329511,1
9,0.325055,0
10,0.316238,0
11,0.314138,0
12,0.304641,0
13,0.304641,0
14,0.304641,0
15,0.314404,0
16,0.309679,0
17,0.313821,0
18,0.314756,0
19,0.319470,0
20,0.314756,0
21,0.326195,0
22,0.313821,0
23,0.313821,0
24,0.313821,0
25,0.322280,0
26,0.305509,0
27,0.310016,0
28,0.305509,0
29,0.324337,0
30,0.312620,0
31,0.338946,1
32,0.311458,0
33,0.323270,0
34,0.333704,1
35,0.337016,1
36,0.307975,0
37,0.306516,0
38,0.328695,1
39,0.309040,0
40,0.317960,0
41,0.310458,0
42,0.318459,0
43,0.317883,0
44,0.313372,0
45,0.307192,0
46,0.306711,0
47,0.323559,0
48,0.305458,0
49,0.311180,0
50,0.330235,1
51,0.316130,0
52,0.308533,0
53,0.310333,0
54,0.317082,0
55,0.319330,0
56,0.309665,0
57,0.326904,0
58,0.313160,0
59,0.313372,0
60,0.313160,0
61,0.310458,0
62,0.312431,0
63,0.305509,0
64,0.322338,0
65,0.325192,0
66,0.318614,0
67,0.309040,0
68,0.309040,0
69,0.306084,0
70,0.311365,0
71,0.315700,0
72,0.324072,0
73,0.313547,0
74,0.312314,0
75,0.315229,0
76,0.310016,0
77,0.310016,0
78,0.317412,0
79,0.308378,0
80,0.317537,0
81,0.309513,0
82,0.300088,0
83,0.317688,0
84,0.317903,0
85,0.309190,0
86,0.322851,0
87,0.323444,0
88,0.313652,0
89,0.332765,1
90,0.332765,1
91,0.332315,1
92,0.313186,0
93,0.322851,0
94,0.313186,0
95,0.327823,0
96,0.340232,1
97,0.314008,0
98,0.311089,0
99,0.323424,0
100,0.336487,1
101,0.334958,1
102,0.338351,1
103,0.328695,1
104,0.323114,0
105,0.324737,0
106,0.326440,0
107,0.305458,0
108,0.305458,0
109,0.336215,1
110,0.305458,0
111,0.325921,0
112,0.306140,0
113,0.346976,1
114,0.346976,1
115,0.316653,0
116,0.335156,1
117,0.316653,0
118,0.338351,1
119,0.309040,0
120,0.305458,0
121,0.334931,1
122,0.321847,0
123,0.320023,0
124,0.319147,0
125,0.319147,0
126,0.323270,0
127,0.328695,1
128,0.311741,0
129,0.334958,1
130,0.310417,0
131,0.312948,0
132,0.303588,0
133,0.318639,0
134,0.304943,0
135,0.308372,0
136,0.306274,0
137,0.311530,0
138,0.313157,0
139,0.309914,0
140,0.311892,0
141,0.307973,0
142,0.315854,0
143,0.319477,0
144,0.328163,0
145,0.336152,1
146,0.309467,0
147,0.310512,0
148,0.310728,0
149,0.304641,0
150,0.304641,0
151,0.304641,0
152,0.304641,0
153,0.311148,0
154,0.300307,0
155,0.314472,0
156,0.314472,0
157,0.309679,0
158,0.322204,0
159,0.315700,0
160,0.337295,1
161,0.316234,0
162,0.312670,0
163,0.337623,1
164,0.324504,0
165,0.323489,0
166,0.328695,1
167,0.319934,0
168,0.313864,0
169,0.313651,0
170,0.304070,0
171,0.304641,0
172,0.300307,0
173,0.300307,0
174,0.310728,0
175,0.304641,0
176,0.310728,0
177,0.310728,0
178,0.314472,0
179,0.314404,0
180,0.314685,0
181,0.309726,0
182,0.304613,0
183,0.306060,0
184,0.302656,0
185,0.314685,0
186,0.305696,0
187,0.302656,0
188,0.309679,0
189,0.309679,0
190,0.316020,0
191,0.312971,0
192,0.316758,0
193,0.323634,0
194,0.315700,0
195,0.324121,0
196,0.315700,0
197,0.321386,0
198,0.310345,0
199,0.331120,1
200,0.332763,1
201,0.313698,0
202,0.318070,0
203,0.323634,0
204,0.332847,1
205,0.338488,1
206,0.319114,0
207,0.325808,0
208,0.310207,0
209,0.313160,0
210,0.310458,0
211,0.304845,0
212,0.310934,0
213,0.320628,0
214,0.306511,0
215,0.320628,0
216,0.321977,0
217,0.320628,0
218,0.310934,0
219,0.310934,0
220,0.310934,0
221,0.312594,0
222,0.312594,0
223,0.308909,0
224,0.312012,0
225,0.309771,0
226,0.317972,0
227,0.319218,0
228,0.310257,0
229,0.310257,0
230,0.308424,0
231,0.308909,0
232,0.310257,0
233,0.308909,0
234,0.308909,0
235,0.317972,0
236,0.312382,0
237,0.310257,0
238,0.312012,0
239,0.312382,0
240,0.314216,0
241,0.317973,0
242,0.316232,0
243,0.317973,0
244,0.318182,0
245,0.318625,0
246,0.318182,0
247,0.318182,0
248,0.315736,0
249,0.317973,0
250,0.317973,0
251,0.317973,0
252,0.317475,0
253,0.323632,0
254,0.321258,0
255,0.321258,0
256,0.325698,0
257,0.316757,0
258,0.321911,0
259,0.321521,0
260,0.314439,0
261,0.322222,0
262,0.322285,0
263,0.316757,0
264,0.319297,0
265,0.321521,0
266,0.314439,0
267,0.321738,0
268,0.321521,0
269,0.327362,0
270,0.322222,0
271,0.331486,1
272,0.320304,0
273,0.317230,0
274,0.321258,0
275,0.319037,0
276,0.325964,0
277,0.316757,0
278,0.315948,0
279,0.321521,0
280,0.318653,0
281,0.314057,0
282,0.319826,0
283,0.316757,0
284,0.316757,0
285,0.318653,0
286,0.320024,0
287,0.322285,0
288,0.318653,0
289,0.316757,0
290,0.318653,0
291,0.318653,0
292,0.316757,0
293,0.321521,0
294,0.322285,0
295,0.318653,0
296,0.318653,0
297,0.316757,0
298,0.319297,0
299,0.321258,0
300,0.317230,0
301,0.318653,0
302,0.320178,0
303,0.320241,0
304,0.319962,0
305,0.316744,0
306,0.337503,1
307,0.325504,0
308,0.319297,0
309,0.330817,1
310,0.316757,0
311,0.319582,0
312,0.319129,0
313,0.317230,0
314,0.359479,1
315,0.359479,1
316,0.359479,1
317,0.359479,1
318,0.359479,1
319,0.359479,1
320,0.359236,1
321,0.359479,1
322,0.359479,1
323,0.359479,1
324,0.359236,1
325,0.347195,1
326,0.373707,1
327,0.334398,1
328,0.336332,1
329,0.340828,1
330,0.343978,1
331,0.322133,0
332,0.313492,0
333,0.333374,1
334,0.320348,0
335,0.326759,0
336,0.326759,0
337,0.319918,0
338,0.318173,0
339,0.322661,0
340,0.322661,0
341,0.314369,0
342,0.322661,0
343,0.312250,0
344,0.323168,0
345,0.314369,0
346,0.323168,0
347,0.303785,0
348,0.316443,0
349,0.331296,1
350,0.320023,0
351,0.324513,0
352,0.324063,0
353,0.325023,0
354,0.325023,0
355,0.324117,0
356,0.344671,1
357,0.336004,1
358,0.336004,1
359,0.338766,1
360,0.336004,1
361,0.332391,1
362,0.349339,1
363,0.339707,1
364,0.334119,1
365,0.336479,1
366,0.347095,1
367,0.347095,1
368,0.347095,1
369,0.347095,1
370,0.336479,1
371,0.330413,1
372,0.327731,0
373,0.330553,1
374,0.330553,1
