row,score,flagged
0,0.479583,0
1,0.512900,0
2,0.471753,0
3,0.465093,0
4,0.649654,1
5,0.613091,1
6,0.645925,1
7,0.439709,0
8,0.509015,0
9,0.488984,0
10,0.494409,0
11,0.392554,0
12,0.429075,0
13,0.389493,0
14,0.522864,0
15,0.392916,0
16,0.614875,1
17,0.420105,0
18,0.670018,1
19,0.523130,0
20,0.523130,0
21,0.523130,0
22,0.505368,0
23,0.523335,0
24,0.600740,1
25,0.518960,0
26,0.466571,0
27,0.608512,1
28,0.755637,1
29,0.662858,1
30,0.474121,0
31,0.508235,0
32,0.575448,1
33,0.550098,1
34,0.768074,1
35,0.608280,1
36,0.570136,1
37,0.447206,0
38,0.447226,0
39,0.707245,1
40,0.474274,0
41,0.622314,1
42,0.533479,0
43,0.737136,1
44,0.688735,1
45,0.486728,0
46,0.774860,1
47,0.588601,1
48,0.661291,1
49,0.620644,1
50,0.691839,1
51,0.569308,1
52,0.692994,1
53,0.536306,0
54,0.474940,0
55,0.515240,0
56,0.481139,0
57,0.681052,1
58,0.539140,0
59,0.561844,1
60,0.639858,1
61,0.508679,0
62,0.656048,1
63,0.656048,1
64,0.638682,1
65,0.533365,0
66,0.556830,1
67,0.416018,0
68,0.640379,1
69,0.545589,0
70,0.584377,1
71,0.452354,0
72,0.581670,1
73,0.540451,0
74,0.543529,0
75,0.469809,0
76,0.487643,0
77,0.386224,0
78,0.695061,1
79,0.609637,1
80,0.608414,1
81,0.628104,1
82,0.628104,1
83,0.637459,1
84,0.672743,1
85,0.586344,1
86,0.720501,1
87,0.564219,1
88,0.557543,1
89,0.471905,0
90,0.654936,1
91,0.565411,1
92,0.791819,1
93,0.831347,1
94,0.744871,1
95,0.724355,1
96,0.756215,1
97,0.756726,1
98,0.660998,1
99,0.685870,1
100,0.844957,1
101,0.677568,1
102,0.735625,1
103,0.489932,0
104,0.838691,1
105,0.829661,1
106,0.755085,1
107,0.813072,1
108,0.763227,1
109,0.827419,1
110,0.670821,1
111,0.678026,1
112,0.814643,1
113,0.684696,1
114,0.693027,1
115,0.658784,1
116,0.658784,1
117,0.482702,0
118,0.764445,1
119,0.678268,1
120,0.795578,1
121,0.484667,0
122,0.555436,1
123,0.581922,1
124,0.453207,0
125,0.359511,0
126,0.387299,0
127,0.348709,0
128,0.400278,0
129,0.490836,0
130,0.480435,0
131,0.605444,1
132,0.704867,1
133,0.613782,1
134,0.456495,0
135,0.520129,0
136,0.680338,1
137,0.498172,0
138,0.399476,0
139,0.403045,0
140,0.428064,0
141,0.423380,0
142,0.477656,0
143,0.383547,0
144,0.455316,0
145,0.458191,0
146,0.395473,0
147,0.711879,1
148,0.790748,1
149,0.463474,0
150,0.616109,1
151,0.732619,1
152,0.697934,1
153,0.506314,0
154,0.767036,1
155,0.770755,1
156,0.565350,1
157,0.525007,0
158,0.619880,1
159,0.377080,0
160,0.402173,0
161,0.402173,0
162,0.449324,0
163,0.380200,0
164,0.469421,0
165,0.479429,0
166,0.460540,0
167,0.430910,0
168,0.446965,0
169,0.373183,0
170,0.425653,0
171,0.398130,0
172,0.376764,0
173,0.473798,0
174,0.393291,0
175,0.395990,0
176,0.404096,0
177,0.401868,0
178,0.453130,0
179,0.394529,0
180,0.668216,1
181,0.497566,0
182,0.556956,1
183,0.676147,1
184,0.718625,1
185,0.447407,0
186,0.657367,1
187,0.694139,1
188,0.542210,0
189,0.696627,1
190,0.757226,1
191,0.720966,1
192,0.527073,0
193,0.781705,1
194,0.492078,0
195,0.501175,0
196,0.474602,0
197,0.553305,1
198,0.365565,0
199,0.367035,0
200,0.373995,0
201,0.392616,0
202,0.411580,0
203,0.409637,0
204,0.391289,0
205,0.407491,0
206,0.392103,0
207,0.415574,0
208,0.348119,0
209,0.382244,0
210,0.399688,0
211,0.415844,0
212,0.410178,0
213,0.432447,0
214,0.393057,0
215,0.393057,0
216,0.357851,0
217,0.346014,0
218,0.385801,0
219,0.400263,0
220,0.375320,0
221,0.368633,0
222,0.378339,0
223,0.381643,0
224,0.420246,0
225,0.397757,0
226,0.409989,0
227,0.377168,0
228,0.364185,0
229,0.369249,0
230,0.390171,0
231,0.376791,0
232,0.370501,0
233,0.370501,0
234,0.448015,0
235,0.375093,0
236,0.376803,0
237,0.376803,0
238,0.452266,0
239,0.694922,1
240,0.400903,0
241,0.400903,0
242,0.689966,1
243,0.435779,0
244,0.419913,0
245,0.426484,0
246,0.420588,0
247,0.590163,1
248,0.430786,0
249,0.453252,0
250,0.397762,0
251,0.409144,0
252,0.427839,0
253,0.451708,0
254,0.420517,0
255,0.643884,1
256,0.544438,0
257,0.495722,0
258,0.525051,0
259,0.511866,0
260,0.399468,0
261,0.384796,0
262,0.706356,1
263,0.447407,0
264,0.553950,1
265,0.402800,0
266,0.518664,0
267,0.349512,0
268,0.402183,0
269,0.471920,0
270,0.400625,0
271,0.519516,0
272,0.440291,0
273,0.423886,0
274,0.518664,0
275,0.457798,0
276,0.518891,0
277,0.518891,0
278,0.457798,0
279,0.404279,0
280,0.440904,0
281,0.519165,0
282,0.519165,0
283,0.448688,0
284,0.466704,0
285,0.441787,0
286,0.513773,0
287,0.503028,0
288,0.545173,0
289,0.431589,0
290,0.602475,1
291,0.655159,1
292,0.649188,1
293,0.719844,1
294,0.400343,0
295,0.672498,1
296,0.472025,0
297,0.537994,0
298,0.519122,0
299,0.493774,0
300,0.846101,1
301,0.846673,1
302,0.846101,1
303,0.846673,1
304,0.846101,1
305,0.846673,1
306,0.840964,1
307,0.857048,1
308,0.857048,1
309,0.857048,1
310,0.840964,1
311,0.759805,1
312,0.854731,1
313,0.674683,1
314,0.727114,1
315,0.453902,0
316,0.517635,0
317,0.710450,1
318,0.565513,1
319,0.742600,1
320,0.505672,0
321,0.550591,1
322,0.653937,1
323,0.554802,1
324,0.569207,1
325,0.524046,0
326,0.524046,0
327,0.495798,0
328,0.418392,0
329,0.476545,0
330,0.440390,0
331,0.453529,0
332,0.503039,0
333,0.417090,0
334,0.466094,0
335,0.379561,0
336,0.438752,0
337,0.387490,0
338,0.393117,0
339,0.744538,1
340,0.720295,1
341,0.711576,1
342,0.738054,1
343,0.700448,1
344,0.529200,0
345,0.719285,1
346,0.518216,0
347,0.686903,1
348,0.686510,1
349,0.670847,1
350,0.644650,1
351,0.668742,1
352,0.668289,1
353,0.688508,1
354,0.480332,0
355,0.435518,0
356,0.529998,0
357,0.609791,1
358,0.488006,0
359,0.429877,0
360,0.429877,0
361,0.576303,1
362,0.529778,0
363,0.632352,1
364,0.632352,1
365,0.454082,0
366,0.454082,0
367,0.712539,1
368,0.504561,0
369,0.580991,1
370,0.581778,1
371,0.580991,1
372,0.715643,1
373,0.447847,0
374,0.395974,0
375,0.698020,1
376,0.696133,1
377,0.685719,1
378,0.711511,1
379,0.677428,1
380,0.688647,1
381,0.701871,1
382,0.583076,1
383,0.623246,1
384,0.605444,1
385,0.639835,1
386,0.669729,1
387,0.697547,1
388,0.571558,1
389,0.592302,1
390,0.595942,1
391,0.595942,1
392,0.513698,0
393,0.597694,1
394,0.618257,1
395,0.679779,1
396,0.474736,0
397,0.504561,0
398,0.474736,0
399,0.520797,0
400,0.689234,1
401,0.566597,1
402,0.683745,1
403,0.495169,0
404,0.567186,1
405,0.709927,1
406,0.436131,0
407,0.699594,1
408,0.429702,0
409,0.500156,0
410,0.814643,1
411,0.727586,1
412,0.682246,1
