row,score,flagged
0,1.349566,0
1,1.029940,0
2,1.355408,0
3,0.765020,0
4,1.583777,0
5,2.304735,1
6,1.475724,0
7,1.013993,0
8,1.345151,0
9,1.027793,0
10,1.380299,0
11,1.309239,0
12,0.685675,0
13,1.305063,0
14,1.329571,0
15,1.014321,0
16,1.909753,0
17,1.341190,0
18,1.857241,0
19,1.370130,0
20,1.370130,0
21,1.370130,0
22,0.807248,0
23,0.785660,0
24,1.541792,0
25,0.781043,0
26,1.067196,0
27,2.465083,1
28,3.732602,1
29,3.285061,1
30,1.019393,0
31,1.028455,0
32,1.358832,0
33,0.523143,0
34,3.553507,1
35,0.546132,0
36,2.381122,1
37,1.021931,0
38,1.020099,0
39,1.223494,0
40,0.697276,0
41,1.097540,0
42,0.720994,0
43,2.025033,0
44,4.163559,1
45,1.347049,0
46,5.154851,1
47,0.901406,0
48,2.173448,1
49,1.072068,0
50,1.903549,0
51,0.876587,0
52,1.402107,0
53,0.721055,0
54,0.697921,0
55,0.867313,0
56,1.030402,0
57,1.549810,0
58,0.932682,0
59,1.028345,0
60,1.358933,0
61,0.879963,0
62,0.920699,0
63,0.920699,0
64,0.978438,0
65,1.393376,0
66,1.441449,0
67,0.699345,0
68,1.384608,0
69,1.186246,0
70,2.494854,1
71,0.160924,0
72,0.393816,0
73,1.035874,0
74,1.892175,0
75,1.340594,0
76,1.374606,0
77,1.372787,0
78,2.196116,1
79,1.310147,0
80,1.360276,0
81,1.911909,0
82,1.911909,0
83,1.726581,0
84,1.960760,0
85,1.456662,0
86,3.041865,1
87,1.353915,0
88,0.758022,0
89,1.340443,0
90,1.479626,0
91,0.889467,0
92,5.028729,1
93,19.403124,1
94,2.418577,1
95,1.838342,0
96,2.696372,1
97,2.667572,1
98,3.148845,1
99,5.576205,1
100,12.784968,1
101,4.140981,1
102,2.515119,1
103,0.397824,0
104,10.030278,1
105,7.795063,1
106,27.693970,1
107,16.684341,1
108,40.852022,1
109,15.968377,1
110,0.683013,0
111,4.654469,1
112,26.025809,1
113,3.633330,1
114,2.490784,1
115,1.755252,0
116,1.755252,0
117,1.020141,0
118,3.397477,1
119,1.285753,0
120,6.937217,1
121,0.940118,0
122,0.386378,0
123,0.899207,0
124,0.689919,0
125,1.012061,0
126,1.306139,0
127,1.012117,0
128,0.523787,0
129,1.359961,0
130,0.700472,0
131,1.312247,0
132,1.881634,0
133,1.439267,0
134,0.692041,0
135,1.029378,0
136,1.386202,0
137,1.343722,0
138,1.374646,0
139,1.374384,0
140,1.345108,0
141,1.343838,0
142,1.374311,0
143,1.309321,0
144,1.307201,0
145,1.372216,0
146,1.305309,0
147,3.224165,1
148,6.991759,1
149,1.347413,0
150,1.703086,0
151,2.232592,1
152,2.425898,1
153,1.344648,0
154,3.690758,1
155,4.423286,1
156,1.075604,0
157,1.318041,0
158,2.007354,0
159,1.310291,0
160,1.314220,0
161,1.314220,0
162,1.017638,0
163,1.015595,0
164,1.375155,0
165,1.344617,0
166,1.339752,0
167,0.686856,0
168,1.013865,0
169,0.684854,0
170,1.373992,0
171,1.373314,0
172,1.174813,0
173,1.308925,0
174,1.373946,0
175,1.371810,0
176,1.371251,0
177,1.011034,0
178,1.346669,0
179,0.851287,0
180,1.965825,0
181,1.115111,0
182,1.444743,0
183,2.256970,1
184,2.416599,1
185,1.048522,0
186,1.859510,0
187,2.418997,1
188,0.664331,0
189,2.407286,1
190,4.792230,1
191,1.456413,0
192,1.352785,0
193,4.630034,1
194,0.878004,0
195,0.703874,0
196,1.995262,0
197,1.038894,0
198,1.016174,0
199,1.015870,0
200,1.015679,0
201,1.309607,0
202,1.375294,0
203,1.375378,0
204,1.374684,0
205,1.374785,0
206,1.374687,0
207,1.371765,0
208,1.043199,0
209,1.339046,0
210,1.372543,0
211,1.882192,0
212,1.339322,0
213,1.011390,0
214,1.371655,0
215,1.371655,0
216,0.880481,0
217,1.011778,0
218,1.372010,0
219,1.371886,0
220,1.372554,0
221,1.011324,0
222,1.306578,0
223,1.372235,0
224,1.307892,0
225,1.372321,0
226,1.017677,0
227,1.043923,0
228,1.010663,0
229,1.043628,0
230,1.338982,0
231,1.010743,0
232,1.011475,0
233,1.011524,0
234,1.946946,0
235,1.011076,0
236,1.010992,0
237,1.010992,0
238,1.947426,0
239,1.956679,0
240,1.047717,0
241,1.047717,0
242,2.015926,0
243,1.054685,0
244,1.016695,0
245,1.016222,0
246,1.341256,0
247,1.592677,0
248,1.033364,0
249,1.080456,0
250,0.370347,0
251,1.047373,0
252,1.341716,0
253,1.344434,0
254,1.015541,0
255,1.483169,0
256,1.425114,0
257,1.381531,0
258,1.399622,0
259,1.701745,0
260,1.015171,0
261,0.398737,0
262,1.827602,0
263,1.048475,0
264,1.158212,0
265,1.014632,0
266,1.144736,0
267,1.012435,0
268,1.013880,0
269,1.067806,0
270,1.015318,0
271,1.143994,0
272,0.231616,0
273,1.022297,0
274,1.144777,0
275,1.049461,0
276,1.145054,0
277,1.145054,0
278,1.049443,0
279,1.014738,0
280,1.034583,0
281,1.144139,0
282,1.144139,0
283,1.048790,0
284,1.392645,0
285,1.310300,0
286,1.399538,0
287,1.115616,0
288,0.593129,0
289,0.716569,0
290,1.258433,0
291,1.279184,0
292,1.780405,0
293,2.278493,1
294,0.689729,0
295,2.206009,1
296,1.018990,0
297,1.055461,0
298,1.388539,0
299,1.350837,0
300,8.415590,1
301,8.372119,1
302,8.452926,1
303,8.308334,1
304,8.438838,1
305,8.216040,1
306,11.150040,1
307,26.950614,1
308,26.950614,1
309,26.950614,1
310,11.137057,1
311,2.790808,1
312,6.349310,1
313,1.937485,0
314,2.792194,1
315,1.046739,0
316,1.345491,0
317,1.745133,0
318,1.055462,0
319,1.806713,0
320,1.345965,0
321,1.046329,0
322,0.573052,0
323,1.085557,0
324,0.818384,0
325,0.887737,0
326,0.887737,0
327,1.068603,0
328,0.699832,0
329,1.673548,0
330,1.020999,0
331,1.020971,0
332,1.322419,0
333,1.670674,0
334,1.340575,0
335,1.371983,0
336,1.815985,0
337,1.305518,0
338,1.371212,0
339,3.394195,1
340,2.220796,1
341,2.217109,1
342,2.376736,1
343,2.159213,1
344,1.147539,0
345,2.671080,1
346,1.124570,0
347,1.864034,0
348,2.018620,0
349,2.076772,0
350,1.743706,0
351,2.045010,0
352,2.045365,0
353,2.006165,0
354,1.069984,0
355,1.341635,0
356,0.614087,0
357,1.170869,0
358,1.071332,0
359,1.022183,0
360,1.022164,0
361,1.408961,0
362,0.812318,0
363,1.460679,0
364,1.460679,0
365,1.669317,0
366,1.669317,0
367,2.381450,1
368,1.116225,0
369,1.588842,0
370,1.589765,0
371,1.589029,0
372,2.438832,1
373,1.668807,0
374,1.014855,0
375,2.021261,0
376,2.017717,0
377,1.993111,0
378,2.515727,1
379,2.137298,0
380,2.360536,1
381,2.293058,1
382,1.198459,0
383,1.692140,0
384,1.260352,0
385,1.632937,0
386,1.811150,0
387,2.333483,1
388,1.201522,0
389,1.340740,0
390,1.444688,0
391,1.444688,0
392,1.121452,0
393,1.434430,0
394,1.521700,0
395,1.751886,0
396,1.068593,0
397,1.116133,0
398,1.068593,0
399,1.399973,0
400,2.141851,0
401,1.328528,0
402,2.110463,0
403,1.367860,0
404,1.401912,0
405,2.501493,1
406,1.341377,0
407,2.694160,1
408,1.342015,0
409,1.382632,0
410,5.885210,1
411,3.475793,1
412,2.191589,1
413,3.211604,1
414,4.790655,1
415,1.835248,0
416,2.549133,1
417,1.022339,0
418,1.054829,0
419,0.748005,0
420,1.345266,0
421,1.013091,0
422,1.027333,0
423,1.349750,0
424,1.350044,0
425,1.027705,0
426,1.376169,0
427,1.309333,0
428,1.309511,0
429,1.375933,0
430,1.017732,0
431,0.500397,0
432,1.306188,0
433,1.372011,0
434,1.305369,0
435,1.307029,0
436,1.372069,0
437,1.372300,0
438,1.011384,0
439,1.372693,0
440,1.306589,0
441,1.307313,0
442,0.685176,0
443,1.011524,0
444,1.011654,0
445,1.011076,0
446,1.012386,0
447,0.689213,0
448,0.715714,0
449,0.495473,0
450,0.743662,0
451,0.691233,0
452,0.717668,0
453,0.513166,0
454,1.379754,0
455,1.373969,0
456,0.498248,0
457,1.066419,0
458,1.122287,0
459,0.689334,0
460,0.497020,0
461,0.599079,0
462,2.355788,1
463,4.435711,1
464,5.478076,1
465,0.508234,0
466,0.765119,0
467,0.539110,0
468,0.687205,0
469,1.419299,0
470,0.465419,0
471,0.492157,0
472,1.375539,0
473,1.372772,0
474,0.683201,0
475,0.540091,0
476,1.596601,0
477,1.598624,0
478,2.556928,1
