row_id,model,sale_price,predicted_price,residual,absolute_residual,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,ADDRESS,ZIP CODE
570,least_squares,2210000000.0,1327020354.3580458,882979645.6419542,882979645.6419542,1,MIDTOWN CBD,21 OFFICE BUILDINGS                        ,245 PARK AVENUE,10167
513,least_squares,620000000.0,293623129.49012786,326376870.50987214,326376870.50987214,1,KIPS BAY,08 RENTALS - ELEVATOR APARTMENTS           ,460-520 2ND AVENUE,10016
599,least_squares,268124175.0,32699453.16192952,235424721.83807048,235424721.83807048,1,MIDTOWN WEST,21 OFFICE BUILDINGS                        ,1706-1720 BROADWAY,10019
1577,least_squares,51250000.0,-174121749.84163684,225371749.84163684,225371749.84163684,2,BRONXDALE,07 RENTALS - WALKUP APARTMENTS             ,2700 BRONX PARK EAST,10467
2782,least_squares,8524937.0,-158104326.20809364,166629263.20809364,166629263.20809364,2,MOTT HAVEN/PORT MORRIS,32 HOSPITAL AND HEALTH FACILITIES          ,492 EAST 139 STREET,10454
104,least_squares,239114603.0,83889084.29620466,155225518.70379534,155225518.70379534,1,FINANCIAL,08 RENTALS - ELEVATOR APARTMENTS           ,63 WALL STREET,10005
26429,least_squares,4223025.0,-134189669.6209686,138412694.62096858,138412694.62096858,5,NEW SPRINGVILLE,22 STORE BUILDINGS                         ,2655 RICHMOND AVENUE,10314
882,least_squares,172500000.0,35701106.69176001,136798893.30824,136798893.30824,1,UPPER WEST SIDE (79-96),08 RENTALS - ELEVATOR APARTMENTS           ,21 WEST 86TH   STREET,10024
113,least_squares,93550000.0,-41539369.30260525,135089369.30260524,135089369.30260524,1,FINANCIAL,26 OTHER HOTELS                            ,52 WILLIAM STREET,10005
26428,least_squares,711008.0,-134189669.6209686,134900677.62096858,134900677.62096858,5,NEW SPRINGVILLE,22 STORE BUILDINGS                         ,2655 RICHMOND AVENUE,10314
112,least_squares,203345000.0,88901992.96271098,114443007.03728902,114443007.03728902,1,FINANCIAL,25 LUXURY HOTELS                           ,133 GREENWICH STREET,10006
21263,least_squares,58070000.0,-54398051.2397319,112468051.23973191,112468051.23973191,4,SO. JAMAICA-BAISLEY PARK,26 OTHER HOTELS                            ,138-10 135TH   AVENUE,11436
26430,least_squares,4346648.0,-106421508.53974377,110768156.53974377,110768156.53974377,5,NEW SPRINGVILLE,22 STORE BUILDINGS                         ,140 MARSH AVENUE,10314
