row_id,model,sale_price,predicted_price,residual,absolute_residual,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,ADDRESS,ZIP CODE
93,least_squares,565000000.0,62461066.25009319,502538933.7499068,502538933.7499068,1,FASHION,21 OFFICE BUILDINGS                        ,1250 BROADWAY,10001
106,least_squares,652000000.0,320671685.80092454,331328314.19907546,331328314.19907546,1,FINANCIAL,21 OFFICE BUILDINGS                        ,85 BROAD STREET,10004
599,least_squares,268124175.0,1209089.19522152,266915085.8047785,266915085.8047785,1,MIDTOWN WEST,21 OFFICE BUILDINGS                        ,1706-1720 BROADWAY,10019
18490,least_squares,257500000.0,36003084.34834251,221496915.6516575,221496915.6516575,4,LONG ISLAND CITY,27 FACTORIES                               ,31-00 47TH   AVENUE,11101
513,least_squares,620000000.0,465757757.82954997,154242242.17045003,154242242.17045003,1,KIPS BAY,08 RENTALS - ELEVATOR APARTMENTS           ,460-520 2ND AVENUE,10016
58,least_squares,141500000.0,13523744.400920153,127976255.59907985,127976255.59907985,1,CIVIC CENTER,07 RENTALS - WALKUP APARTMENTS             ,41 WHITE STREET,10013
7826,least_squares,154250000.0,34550876.2146959,119699123.7853041,119699123.7853041,3,DOWNTOWN-FULTON MALL,11A CONDO-RENTALS                           ,236 LIVINGSTON STREET,11201
502,least_squares,124700000.0,18907655.407537103,105792344.5924629,105792344.5924629,1,JAVITS CENTER,21 OFFICE BUILDINGS                        ,504-514 WEST 34TH   STREET,10001
573,least_squares,131667000.0,25957679.631629188,105709320.36837082,105709320.36837082,1,MIDTOWN CBD,22 STORE BUILDINGS                         ,727 5TH AVENUE,10022
15012,least_squares,125000000.0,21092775.376494937,103907224.62350506,103907224.62350506,4,ELMHURST,08 RENTALS - ELEVATOR APARTMENTS           ,90-02 QUEENS BOULEVARD,11373
882,least_squares,172500000.0,72806890.01555155,99693109.98444845,99693109.98444845,1,UPPER WEST SIDE (79-96),08 RENTALS - ELEVATOR APARTMENTS           ,21 WEST 86TH   STREET,10024
39,least_squares,107250000.0,11424345.840928463,95825654.15907153,95825654.15907153,1,CHELSEA,22 STORE BUILDINGS                         ,258 8 AVENUE,10011
515,least_squares,174000000.0,78264347.34523134,95735652.65476866,95735652.65476866,1,KIPS BAY,26 OTHER HOTELS                            ,340 EAST 24TH   STREET,10010
113,least_squares,93550000.0,2161259.2451282996,91388740.7548717,91388740.7548717,1,FINANCIAL,26 OTHER HOTELS                            ,52 WILLIAM STREET,10005
46,least_squares,92007576.0,2055782.5792187657,89951793.42078124,89951793.42078124,1,CHELSEA,26 OTHER HOTELS                            ,216-222 WEST 23RD   STREET,10011
2186,least_squares,110000000.0,23578750.275118023,86421249.72488198,86421249.72488198,2,KINGSBRIDGE HTS/UNIV HTS,32 HOSPITAL AND HEALTH FACILITIES          ,100 WEST KINGSBRIDGE RD,10468
155,least_squares,153000000.0,68076284.80882478,84923715.19117522,84923715.19117522,1,GREENWICH VILLAGE-CENTRAL,21 OFFICE BUILDINGS                        ,34-42 W 14 STREET,10011
585,least_squares,86000000.0,6619203.123952645,79380796.87604736,79380796.87604736,1,MIDTOWN EAST,07 RENTALS - WALKUP APARTMENTS             ,428 EAST 58TH   STREET,10022
