row_id,model,sale_price,predicted_price,residual,absolute_residual,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,ADDRESS,ZIP CODE
570,least_squares,2210000000.0,6016178805.993794,-3806178805.9937944,3806178805.9937944,1,MIDTOWN CBD,21 OFFICE BUILDINGS                        ,245 PARK AVENUE,10167
108,least_squares,1040000000.0,4129270741.0613337,-3089270741.0613337,3089270741.0613337,1,FINANCIAL,21 OFFICE BUILDINGS                        ,60 WALL STREET,10005
569,least_squares,155000000.0,442074650.0944314,-287074650.0944314,287074650.0944314,1,MIDTOWN CBD,21 OFFICE BUILDINGS                        ,551 MADISON AVENUE,10022
571,least_squares,62750000.0,342245876.83422834,-279495876.83422834,279495876.83422834,1,MIDTOWN CBD,21 OFFICE BUILDINGS                        ,145 EAST 57TH   STREET,10022
154,least_squares,109000000.0,373851334.27686006,-264851334.27686006,264851334.27686006,1,GREENWICH VILLAGE-CENTRAL,21 OFFICE BUILDINGS                        ,817 BROADWAY,10003
718,least_squares,109915000.0,232871525.77794468,-122956525.77794468,122956525.77794468,1,TRIBECA,25 LUXURY HOTELS                           ,370 CANAL STREET,10013
693,least_squares,118000000.0,230261318.96288323,-112261318.96288323,112261318.96288323,1,MURRAY HILL,26 OTHER HOTELS                            ,150 EAST 34TH   STREET,10016
92,least_squares,108000000.0,217354571.81062275,-109354571.81062275,109354571.81062275,1,FASHION,21 OFFICE BUILDINGS                        ,240 WEST 35TH STREET,10001
94,least_squares,54000000.0,151263491.76136273,-97263491.76136273,97263491.76136273,1,FASHION,21 OFFICE BUILDINGS                        ,53 WEST 36TH   STREET,10018
151,least_squares,25001000.0,95798643.32396564,-70797643.32396564,70797643.32396564,1,GREENWICH VILLAGE-CENTRAL,08 RENTALS - ELEVATOR APARTMENTS           ,11-15 WEST 8TH STREET,10011
28,least_squares,2341975.0,66560214.99834182,-64218239.99834182,64218239.99834182,1,CHELSEA,08 RENTALS - ELEVATOR APARTMENTS           ,155 WEST 18TH,10011
