k,info_kept,rel_reconstruction_error
1,0.009522,0.995228
2,0.017124,0.991401
3,0.023762,0.988047
4,0.029876,0.984949
5,0.035835,0.981919
6,0.041763,0.978896
7,0.047329,0.976048
8,0.052746,0.973270
9,0.058037,0.970548
10,0.063286,0.967840
11,0.068517,0.965134
12,0.073712,0.962439
13,0.078892,0.959744
14,0.084008,0.957075
15,0.089103,0.954409
16,0.094179,0.951747
17,0.099240,0.949084
18,0.104276,0.946427
19,0.109299,0.943770
20,0.114297,0.941118
21,0.119293,0.938460
22,0.124278,0.935800
23,0.129234,0.933149
24,0.134168,0.930501
25,0.139081,0.927857
26,0.143963,0.925223
27,0.148363,0.922842
28,0.152482,0.920608
29,0.156270,0.918548
30,0.159888,0.916576
31,0.163438,0.914637
32,0.166957,0.912712
33,0.170378,0.910836
34,0.173752,0.908982
35,0.177118,0.907128
36,0.180453,0.905288
37,0.183778,0.903450
38,0.187079,0.901621
39,0.190365,0.899797
40,0.193622,0.897986
41,0.196864,0.896178
42,0.200082,0.894381
43,0.203269,0.892598
44,0.206435,0.890823
45,0.209590,0.889050
46,0.212728,0.887283
47,0.215838,0.885529
48,0.218947,0.883772
49,0.222043,0.882019
50,0.225114,0.880276
51,0.228179,0.878534
52,0.231221,0.876801
53,0.234243,0.875076
54,0.237247,0.873358
55,0.240239,0.871643
56,0.243215,0.869934
57,0.246172,0.868233
58,0.249119,0.866534
59,0.252049,0.864841
60,0.254960,0.863157
61,0.257865,0.861473
62,0.260763,0.859789
63,0.263646,0.858111
64,0.266523,0.856433
65,0.269395,0.854755
66,0.272261,0.853076
67,0.275109,0.851405
68,0.277950,0.849735
69,0.280782,0.848067
70,0.283602,0.846403
71,0.286418,0.844738
72,0.289223,0.843076
73,0.292025,0.841412
74,0.294804,0.839759
75,0.297579,0.838105
76,0.300344,0.836454
77,0.303097,0.834807
78,0.305845,0.833160
79,0.308588,0.831512
80,0.311325,0.829864
81,0.314057,0.828217
82,0.316784,0.826569
83,0.319506,0.824921
84,0.322221,0.823273
85,0.324932,0.821625
86,0.327635,0.819979
87,0.330327,0.818335
88,0.333016,0.816691
89,0.335702,0.815045
90,0.338381,0.813399
91,0.341059,0.811752
92,0.343729,0.810105
