k,info_kept,rel_reconstruction_error
1,0.009676,0.995150
2,0.017334,0.991295
3,0.024010,0.987922
4,0.030155,0.984807
5,0.036151,0.981758
6,0.042111,0.978718
7,0.047699,0.975859
8,0.053125,0.973075
9,0.058412,0.970355
10,0.063680,0.967636
11,0.068913,0.964929
12,0.074119,0.962227
13,0.079267,0.959549
14,0.084375,0.956883
15,0.089476,0.954214
16,0.094561,0.951546
17,0.099627,0.948880
18,0.104674,0.946217
19,0.109701,0.943556
20,0.114721,0.940893
21,0.119731,0.938227
22,0.124699,0.935575
23,0.129657,0.932922
24,0.134608,0.930264
25,0.139533,0.927614
26,0.144433,0.924968
27,0.148861,0.922572
28,0.153021,0.920315
29,0.156835,0.918240
30,0.160389,0.916303
31,0.163926,0.914371
32,0.167449,0.912442
33,0.170882,0.910559
34,0.174274,0.908695
35,0.177664,0.906827
36,0.181014,0.904978
37,0.184355,0.903130
38,0.187673,0.901292
39,0.190975,0.899458
40,0.194250,0.897636
41,0.197514,0.895816
42,0.200749,0.894008
43,0.203974,0.892203
44,0.207156,0.890418
45,0.210329,0.888634
46,0.213484,0.886857
47,0.216619,0.885088
48,0.219738,0.883324
49,0.222844,0.881565
50,0.225938,0.879808
51,0.229010,0.878060
52,0.232066,0.876319
53,0.235114,0.874578
54,0.238150,0.872840
55,0.241164,0.871112
56,0.244150,0.869396
57,0.247123,0.867685
58,0.250085,0.865976
59,0.253029,0.864275
60,0.255966,0.862574
61,0.258890,0.860878
62,0.261805,0.859183
63,0.264713,0.857489
64,0.267610,0.855798
65,0.270503,0.854106
66,0.273377,0.852422
67,0.276236,0.850743
68,0.279084,0.849068
69,0.281927,0.847392
70,0.284767,0.845714
71,0.287600,0.844038
72,0.290419,0.842366
73,0.293224,0.840700
74,0.296020,0.839035
75,0.298809,0.837372
76,0.301592,0.835708
77,0.304363,0.834048
78,0.307126,0.832390
79,0.309887,0.830730
80,0.312640,0.829072
81,0.315387,0.827413
82,0.318128,0.825755
83,0.320864,0.824097
84,0.323595,0.822438
85,0.326319,0.820781
86,0.329030,0.819127
87,0.331740,0.817472
88,0.334444,0.815816
89,0.337141,0.814162
90,0.339830,0.812508
91,0.342519,0.810852
92,0.345204,0.809195
93,0.347886,0.807536
94,0.350561,0.805878
95,0.353231,0.804219
96,0.355898,0.802560
97,0.358560,0.800900
98,0.361219,0.799238
99,0.363873,0.797576
100,0.366522,0.795913
101,0.369167,0.794250
102,0.371801,0.792590
103,0.374431,0.790929
104,0.377057,0.789267
105,0.379683,0.787602
106,0.382300,0.785939
107,0.384911,0.784276
108,0.387518,0.782612
109,0.390122,0.780947
110,0.392723,0.779280
111,0.395322,0.777610
112,0.397915,0.775942
113,0.400505,0.774271
114,0.403090,0.772600
115,0.405670,0.770928
116,0.408248,0.769254
117,0.410815,0.767584
118,0.413379,0.765912
119,0.415937,0.764240
120,0.418487,0.762570
121,0.421027,0.760903
122,0.423560,0.759236
123,0.426085,0.757572
124,0.428603,0.755908
125,0.431115,0.754244
126,0.433617,0.752584
127,0.436117,0.750921
128,0.438616,0.749256
129,0.441113,0.747587
130,0.443610,0.745916
131,0.446105,0.744241
132,0.448600,0.742563
133,0.451094,0.740882
134,0.453584,0.739199
135,0.456074,0.737514
136,0.458562,0.735824
137,0.461051,0.734132
138,0.463538,0.732436
139,0.466025,0.730736
140,0.468511,0.729033
141,0.470997,0.727326
142,0.473482,0.725616
143,0.475965,0.723902
144,0.478449,0.722185
145,0.480931,0.720464
146,0.483414,0.718739
147,0.485895,0.717011
148,0.488377,0.715278
149,0.490858,0.713542
150,0.493339,0.711802
151,0.495819,0.710057
152,0.498299,0.708309
153,0.500778,0.706556
154,0.503258,0.704799
155,0.505737,0.703039
156,0.508215,0.701274
157,0.510694,0.699504
158,0.513172,0.697731
159,0.515649,0.695953
160,0.518127,0.694171
161,0.520604,0.692384
162,0.523081,0.690593
163,0.525558,0.688798
164,0.528034,0.686998
165,0.530511,0.685193
166,0.532987,0.683384
167,0.535462,0.681570
168,0.537938,0.679752
169,0.540413,0.677929
170,0.542888,0.676101
171,0.545362,0.674268
172,0.547836,0.672431
173,0.550311,0.670589
174,0.552784,0.668742
175,0.555258,0.666890
176,0.557732,0.665033
177,0.560205,0.663170
178,0.562678,0.661303
179,0.565151,0.659431
180,0.567624,0.657553
181,0.570096,0.655670
182,0.572569,0.653782
183,0.575041,0.651889
184,0.577513,0.649990
185,0.579984,0.648086
186,0.582456,0.646177
187,0.584927,0.644261
188,0.587399,0.642341
189,0.589870,0.640414
190,0.592341,0.638482
191,0.594812,0.636544
192,0.597282,0.634601
193,0.599753,0.632651
194,0.602223,0.630696
195,0.604693,0.628734
196,0.607163,0.626767
197,0.609633,0.624794
198,0.612102,0.622814
199,0.614572,0.620829
200,0.617041,0.618836
201,0.619511,0.616838
