row_id,model,sale_price,predicted_price,residual,absolute_residual,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,ADDRESS,ZIP CODE
16731,ridge_alpha_100000,525000.0,188892068.9711394,-188367068.9711394,188367068.9711394,4,GLEN OAKS,10 COOPS - ELEVATOR APARTMENTS             ,26910 GRAND CENTRAL PARKWA,11005
107,ridge_alpha_100000,3288000.0,169700909.62115762,-166412909.62115762,166412909.62115762,1,FINANCIAL,21 OFFICE BUILDINGS                        ,88 PINE STREET,10005
120,ridge_alpha_100000,1159531.0,116368786.67699943,-115209255.67699943,115209255.67699943,1,FLATIRON,21 OFFICE BUILDINGS                        ,11-13 EAST 26TH   STREET,10010
109,ridge_alpha_100000,54052917.0,168223506.39645672,-114170589.39645672,114170589.39645672,1,FINANCIAL,21 OFFICE BUILDINGS                        ,80 MAIDEN LANE,10038
566,ridge_alpha_100000,90000000.0,170718388.77141514,-80718388.77141514,80718388.77141514,1,MIDTOWN CBD,21 OFFICE BUILDINGS                        ,292 MADISON AVENUE,10017
567,ridge_alpha_100000,90000000.0,170718388.77141514,-80718388.77141514,80718388.77141514,1,MIDTOWN CBD,21 OFFICE BUILDINGS                        ,292 MADISON AVENUE,10017
574,ridge_alpha_100000,7500000.0,58984641.70766663,-51484641.70766663,51484641.70766663,1,MIDTOWN CBD,22 STORE BUILDINGS                         ,141 EAST 45TH   STREET,10017
572,ridge_alpha_100000,15250000.0,59570957.20420064,-44320957.20420064,44320957.20420064,1,MIDTOWN CBD,22 STORE BUILDINGS                         ,7 EAST 53RD   STREET,10022
309,ridge_alpha_100000,5020000.0,44602772.18054742,-39582772.18054742,39582772.18054742,1,HARLEM-CENTRAL,08 RENTALS - ELEVATOR APARTMENTS           ,2300 5 AVENUE,10037
308,ridge_alpha_100000,5020000.0,44602772.1805474,-39582772.1805474,39582772.1805474,1,HARLEM-CENTRAL,08 RENTALS - ELEVATOR APARTMENTS           ,15 WEST 139TH STREET,10037
307,ridge_alpha_100000,5020000.0,44602772.18054736,-39582772.18054736,39582772.18054736,1,HARLEM-CENTRAL,08 RENTALS - ELEVATOR APARTMENTS           ,30 WEST 141ST STREET,10037
110,ridge_alpha_100000,12500000.0,47368583.11689594,-34868583.11689594,34868583.11689594,1,FINANCIAL,21 OFFICE BUILDINGS                        ,27 CLIFF STREET,10038
568,ridge_alpha_100000,30000000.0,64567801.67799078,-34567801.67799078,34567801.67799078,1,MIDTOWN CBD,21 OFFICE BUILDINGS                        ,11 EAST 51ST   STREET,10022
1965,ridge_alpha_100000,10500000.0,44530064.93403098,-34030064.93403098,34030064.93403098,2,EAST TREMONT,21 OFFICE BUILDINGS                        ,1910 ARTHUR AVENUE,10457
17926,ridge_alpha_100000,315000.0,33161228.43853399,-32846228.43853399,32846228.43853399,4,JAMAICA,33 EDUCATIONAL FACILITIES                  ,87-74 172ND STREET,11432
884,ridge_alpha_100000,1400000.0,28995157.673435643,-27595157.673435643,27595157.673435643,1,UPPER WEST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,211 CENTRAL PARK WEST,10024
26428,ridge_alpha_100000,711008.0,26282980.525725506,-25571972.525725506,25571972.525725506,5,NEW SPRINGVILLE,22 STORE BUILDINGS                         ,2655 RICHMOND AVENUE,10314
852,ridge_alpha_100000,71669.0,23718171.266939685,-23646502.266939685,23646502.266939685,1,UPPER WEST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,201 WEST 70TH STREET,10023
97,ridge_alpha_100000,220000.0,23568932.194542594,-23348932.194542594,23348932.194542594,1,FASHION,23 LOFT BUILDINGS                          ,115-123 W 29TH,10001
506,ridge_alpha_100000,5300000.0,27422944.10494392,-22122944.10494392,22122944.10494392,1,JAVITS CENTER,23 LOFT BUILDINGS                          ,516-520 WEST 34TH   STREET,10001
764,ridge_alpha_100000,10050.0,22076236.324743498,-22066186.324743498,22066186.324743498,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,370 EAST 76TH STREET,10021
26429,ridge_alpha_100000,4223025.0,26282980.525725506,-22059955.525725506,22059955.525725506,5,NEW SPRINGVILLE,22 STORE BUILDINGS                         ,2655 RICHMOND AVENUE,10314
3135,ridge_alpha_100000,150000.0,21387194.038775157,-21237194.038775157,21237194.038775157,2,RIVERDALE,10 COOPS - ELEVATOR APARTMENTS             ,5635 NETHERLAND AVENUE,10471
95,ridge_alpha_100000,1161500.0,22381268.927310597,-21219768.927310597,21219768.927310597,1,FASHION,23 LOFT BUILDINGS                          ,338 WEST 39TH   STREET,10018
19872,ridge_alpha_100000,180000.0,21343186.778524898,-21163186.778524898,21163186.778524898,4,REGO PARK,10 COOPS - ELEVATOR APARTMENTS             ,6115 97TH STREET,11374
571,ridge_alpha_100000,62750000.0,81895338.29368596,-19145338.293685958,19145338.293685958,1,MIDTOWN CBD,21 OFFICE BUILDINGS                        ,145 EAST 57TH   STREET,10022
12120,ridge_alpha_100000,1114000.0,17947723.339475144,-16833723.339475144,16833723.339475144,3,SHEEPSHEAD BAY,08 RENTALS - ELEVATOR APARTMENTS           ,1809 EMMONS AVENUE,11235
12121,ridge_alpha_100000,158000.0,16272909.231974894,-16114909.231974894,16114909.231974894,3,SHEEPSHEAD BAY,10 COOPS - ELEVATOR APARTMENTS             ,2232 BRIGHAM STREET,11229
96,ridge_alpha_100000,5000000.0,20835248.840688456,-15835248.840688456,15835248.840688456,1,FASHION,23 LOFT BUILDINGS                          ,260 WEST 36TH   STREET,10018
115,ridge_alpha_100000,489854.0,16054268.38537053,-15564414.38537053,15564414.38537053,1,FLATIRON,08 RENTALS - ELEVATOR APARTMENTS           ,9 EAST 16TH   STREET,10003
116,ridge_alpha_100000,576299.0,16054268.385370653,-15477969.385370653,15477969.385370653,1,FLATIRON,08 RENTALS - ELEVATOR APARTMENTS           ,9 EAST 16TH   STREET,10003
703,ridge_alpha_100000,8146000.0,23446673.488659248,-15300673.488659248,15300673.488659248,1,SOHO,11A CONDO-RENTALS                           ,25 MERCER STREET,10013
10236,ridge_alpha_100000,625000.0,15865415.557463985,-15240415.557463985,15240415.557463985,3,KENSINGTON,10 COOPS - ELEVATOR APARTMENTS             ,135 OCEAN PARKWAY,11218
503,ridge_alpha_100000,5000000.0,19732166.844957292,-14732166.844957292,14732166.844957292,1,JAVITS CENTER,21 OFFICE BUILDINGS                        ,522 WEST 37TH   STREET,10018
45,ridge_alpha_100000,4300000.0,18886871.604909144,-14586871.604909144,14586871.604909144,1,CHELSEA,26 OTHER HOTELS                            ,305 WEST 29TH   STREET,10001
27,ridge_alpha_100000,4600000.0,19088479.53076635,-14488479.53076635,14488479.53076635,1,CHELSEA,08 RENTALS - ELEVATOR APARTMENTS           ,559 WEST 23RD   STREET,10011
22879,ridge_alpha_100000,1400000.0,15207542.85392022,-13807542.85392022,13807542.85392022,4,SUNNYSIDE,26 OTHER HOTELS                            ,47-03 47TH STREET,11377
28,ridge_alpha_100000,2341975.0,16085455.315865908,-13743480.315865908,13743480.315865908,1,CHELSEA,08 RENTALS - ELEVATOR APARTMENTS           ,155 WEST 18TH,10011
310,ridge_alpha_100000,5020000.0,18386150.830541488,-13366150.830541488,13366150.830541488,1,HARLEM-CENTRAL,08 RENTALS - ELEVATOR APARTMENTS           ,60 WEST 142 STREET,10037
306,ridge_alpha_100000,5020000.0,18359832.582242426,-13339832.582242426,13339832.582242426,1,HARLEM-CENTRAL,08 RENTALS - ELEVATOR APARTMENTS           ,45 WEST 139 STREET,10037
2682,ridge_alpha_100000,5700000.0,18736772.213193495,-13036772.213193495,13036772.213193495,2,MORRISANIA/LONGWOOD,26 OTHER HOTELS                            ,980 PROSPECT AVENUE,10459
509,ridge_alpha_100000,3900000.0,16837588.882730376,-12937588.882730376,12937588.882730376,1,KIPS BAY,02 TWO FAMILY DWELLINGS                    ,340 EAST 19TH STREET,10003
63,ridge_alpha_100000,3150000.0,16033031.214313565,-12883031.214313565,12883031.214313565,1,CIVIC CENTER,21 OFFICE BUILDINGS                        ,85 WORTH,10013
16607,ridge_alpha_100000,235000.0,12663993.718381591,-12428993.718381591,12428993.718381591,4,FOREST HILLS,10 COOPS - ELEVATOR APARTMENTS             ,64-35 YELLOWSTONE BLVD,11375
16606,ridge_alpha_100000,235000.0,12663993.718381591,-12428993.718381591,12428993.718381591,4,FOREST HILLS,10 COOPS - ELEVATOR APARTMENTS             ,64-35 YELLOWSTONE BLVD,11375
508,ridge_alpha_100000,4600000.0,16792981.354849156,-12192981.354849156,12192981.354849156,1,KIPS BAY,02 TWO FAMILY DWELLINGS                    ,313 EAST 18TH   STREET,10003
511,ridge_alpha_100000,6650000.0,18258955.41396413,-11608955.41396413,11608955.41396413,1,KIPS BAY,07 RENTALS - WALKUP APARTMENTS             ,316 SECOND AVENUE,10003
760,ridge_alpha_100000,1500000.0,12952793.887218159,-11452793.887218159,11452793.887218159,1,UPPER EAST SIDE (59-79),07 RENTALS - WALKUP APARTMENTS             ,1472 YORK AVENUE,10075
