row_id,model,sale_price,predicted_price,residual,absolute_residual,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,ADDRESS,ZIP CODE
16731,ridge_alpha_100000,525000.0,89894575.25134915,-89369575.25134915,89369575.25134915,4,GLEN OAKS,10 COOPS - ELEVATOR APARTMENTS             ,26910 GRAND CENTRAL PARKWA,11005
17926,ridge_alpha_100000,315000.0,6034901.658903979,-5719901.658903979,5719901.658903979,4,JAMAICA,33 EDUCATIONAL FACILITIES                  ,87-74 172ND STREET,11432
309,ridge_alpha_100000,5020000.0,9871487.965674117,-4851487.965674117,4851487.965674117,1,HARLEM-CENTRAL,08 RENTALS - ELEVATOR APARTMENTS           ,2300 5 AVENUE,10037
308,ridge_alpha_100000,5020000.0,9871487.965674117,-4851487.965674117,4851487.965674117,1,HARLEM-CENTRAL,08 RENTALS - ELEVATOR APARTMENTS           ,15 WEST 139TH STREET,10037
307,ridge_alpha_100000,5020000.0,9871487.965674117,-4851487.965674117,4851487.965674117,1,HARLEM-CENTRAL,08 RENTALS - ELEVATOR APARTMENTS           ,30 WEST 141ST STREET,10037
107,ridge_alpha_100000,3288000.0,6598460.200538597,-3310460.200538597,3310460.200538597,1,FINANCIAL,21 OFFICE BUILDINGS                        ,88 PINE STREET,10005
120,ridge_alpha_100000,1159531.0,3322195.7239879104,-2162664.7239879104,2162664.7239879104,1,FLATIRON,21 OFFICE BUILDINGS                        ,11-13 EAST 26TH   STREET,10010
97,ridge_alpha_100000,220000.0,2342665.010885879,-2122665.010885879,2122665.010885879,1,FASHION,23 LOFT BUILDINGS                          ,115-123 W 29TH,10001
2086,ridge_alpha_100000,30000.0,1982084.5945189453,-1952084.5945189453,1952084.5945189453,2,HIGHBRIDGE/MORRIS HEIGHTS,08 RENTALS - ELEVATOR APARTMENTS           ,1200 WOODYCREST AVE,10452
115,ridge_alpha_100000,489854.0,2376381.14037209,-1886527.14037209,1886527.14037209,1,FLATIRON,08 RENTALS - ELEVATOR APARTMENTS           ,9 EAST 16TH   STREET,10003
116,ridge_alpha_100000,576299.0,2376381.1403721026,-1800082.1403721026,1800082.1403721026,1,FLATIRON,08 RENTALS - ELEVATOR APARTMENTS           ,9 EAST 16TH   STREET,10003
776,ridge_alpha_100000,52500.0,1518898.8377837946,-1466398.8377837946,1466398.8377837946,1,UPPER EAST SIDE (59-79),22 STORE BUILDINGS                         ,1115 LEXINGTON AVENUE,10075
11675,ridge_alpha_100000,171875.0,1637999.9707751614,-1466124.9707751614,1466124.9707751614,3,PARK SLOPE,07 RENTALS - WALKUP APARTMENTS             ,70 7TH AVENUE,11217
18485,ridge_alpha_100000,337333.0,1697933.012147612,-1360600.012147612,1360600.012147612,4,LONG ISLAND CITY,21 OFFICE BUILDINGS                        ,25-34 JACKSON AVENUE,11101
18484,ridge_alpha_100000,337333.0,1697933.012147612,-1360600.012147612,1360600.012147612,4,LONG ISLAND CITY,21 OFFICE BUILDINGS                        ,25-34 JACKSON AVENUE,11101
18483,ridge_alpha_100000,337333.0,1697933.012147612,-1360600.012147612,1360600.012147612,4,LONG ISLAND CITY,21 OFFICE BUILDINGS                        ,25-34 JACKSON AVENUE,11101
