row_id,model,sale_price,predicted_price,residual,absolute_residual,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,ADDRESS,ZIP CODE
570,ridge_alpha_1000,2210000000.0,1112219310.6201353,1097780689.3798647,1097780689.3798647,1,MIDTOWN CBD,21 OFFICE BUILDINGS                        ,245 PARK AVENUE,10167
513,ridge_alpha_1000,620000000.0,263296264.6460016,356703735.3539984,356703735.3539984,1,KIPS BAY,08 RENTALS - ELEVATOR APARTMENTS           ,460-520 2ND AVENUE,10016
599,ridge_alpha_1000,268124175.0,27320265.324537348,240803909.67546266,240803909.67546266,1,MIDTOWN WEST,21 OFFICE BUILDINGS                        ,1706-1720 BROADWAY,10019
1577,ridge_alpha_1000,51250000.0,-103374387.637859,154624387.637859,154624387.637859,2,BRONXDALE,07 RENTALS - WALKUP APARTMENTS             ,2700 BRONX PARK EAST,10467
104,ridge_alpha_1000,239114603.0,92712418.8668699,146402184.1331301,146402184.1331301,1,FINANCIAL,08 RENTALS - ELEVATOR APARTMENTS           ,63 WALL STREET,10005
882,ridge_alpha_1000,172500000.0,36992417.89334326,135507582.10665673,135507582.10665673,1,UPPER WEST SIDE (79-96),08 RENTALS - ELEVATOR APARTMENTS           ,21 WEST 86TH   STREET,10024
2782,ridge_alpha_1000,8524937.0,-104523935.06205039,113048872.06205039,113048872.06205039,2,MOTT HAVEN/PORT MORRIS,32 HOSPITAL AND HEALTH FACILITIES          ,492 EAST 139 STREET,10454
58,ridge_alpha_1000,141500000.0,29865689.62632816,111634310.37367184,111634310.37367184,1,CIVIC CENTER,07 RENTALS - WALKUP APARTMENTS             ,41 WHITE STREET,10013
113,ridge_alpha_1000,93550000.0,-15688332.542416057,109238332.54241605,109238332.54241605,1,FINANCIAL,26 OTHER HOTELS                            ,52 WILLIAM STREET,10005
93,ridge_alpha_1000,565000000.0,462442456.9616982,102557543.03830183,102557543.03830183,1,FASHION,21 OFFICE BUILDINGS                        ,1250 BROADWAY,10001
7826,ridge_alpha_1000,154250000.0,52944623.46578697,101305376.53421304,101305376.53421304,3,DOWNTOWN-FULTON MALL,11A CONDO-RENTALS                           ,236 LIVINGSTON STREET,11201
112,ridge_alpha_1000,203345000.0,104030142.16143064,99314857.83856936,99314857.83856936,1,FINANCIAL,25 LUXURY HOTELS                           ,133 GREENWICH STREET,10006
502,ridge_alpha_1000,124700000.0,25803713.60274067,98896286.39725932,98896286.39725932,1,JAVITS CENTER,21 OFFICE BUILDINGS                        ,504-514 WEST 34TH   STREET,10001
105,ridge_alpha_1000,182391612.0,83960427.95065457,98431184.04934543,98431184.04934543,1,FINANCIAL,08 RENTALS - ELEVATOR APARTMENTS           ,67 WALL STREET,10005
26429,ridge_alpha_1000,4223025.0,-85089165.4882592,89312190.4882592,89312190.4882592,5,NEW SPRINGVILLE,22 STORE BUILDINGS                         ,2655 RICHMOND AVENUE,10314
21263,ridge_alpha_1000,58070000.0,-27824958.95029852,85894958.95029852,85894958.95029852,4,SO. JAMAICA-BAISLEY PARK,26 OTHER HOTELS                            ,138-10 135TH   AVENUE,11436
26428,ridge_alpha_1000,711008.0,-85089165.4882592,85800173.4882592,85800173.4882592,5,NEW SPRINGVILLE,22 STORE BUILDINGS                         ,2655 RICHMOND AVENUE,10314
39,ridge_alpha_1000,107250000.0,26716751.396245215,80533248.60375479,80533248.60375479,1,CHELSEA,22 STORE BUILDINGS                         ,258 8 AVENUE,10011
26430,ridge_alpha_1000,4346648.0,-73589379.74828611,77936027.74828611,77936027.74828611,5,NEW SPRINGVILLE,22 STORE BUILDINGS                         ,140 MARSH AVENUE,10314
108,ridge_alpha_1000,1040000000.0,963635764.5721314,76364235.4278686,76364235.4278686,1,FINANCIAL,21 OFFICE BUILDINGS                        ,60 WALL STREET,10005
118,ridge_alpha_1000,126000000.0,50223038.68455177,75776961.31544822,75776961.31544822,1,FLATIRON,21 OFFICE BUILDINGS                        ,31 WEST 27TH STREET,10001
585,ridge_alpha_1000,86000000.0,13030991.038451556,72969008.96154845,72969008.96154845,1,MIDTOWN EAST,07 RENTALS - WALKUP APARTMENTS             ,428 EAST 58TH   STREET,10022
18500,ridge_alpha_1000,65831493.0,-6845754.1145754475,72677247.11457545,72677247.11457545,4,LONG ISLAND CITY,29 COMMERCIAL GARAGES                      ,22-12 JACKSON AVENUE,11101
10237,ridge_alpha_1000,20250000.0,-46172618.159880444,66422618.159880444,66422618.159880444,3,KENSINGTON,10 COOPS - ELEVATOR APARTMENTS             ,230 OCEAN PARKWAY,11218
769,ridge_alpha_1000,79500000.0,17206601.737773612,62293398.26222639,62293398.26222639,1,UPPER EAST SIDE (59-79),21 OFFICE BUILDINGS                        ,19 EAST 64TH   STREET,10065
505,ridge_alpha_1000,330000000.0,273728512.78501415,56271487.21498585,56271487.21498585,1,JAVITS CENTER,21 OFFICE BUILDINGS                        ,433-447 NINTH AVENUE,10001
488,ridge_alpha_1000,63600000.0,10294565.01836428,53305434.98163572,53305434.98163572,1,INWOOD,07 RENTALS - WALKUP APARTMENTS             ,109 SHERMAN AVENUE,10034
148,ridge_alpha_1000,72200000.0,21025164.5615726,51174835.4384274,51174835.4384274,1,GREENWICH VILLAGE-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,85 EAST 10TH STREET,10003
