row_id,model,sale_price,predicted_price,residual,absolute_residual,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,ADDRESS,ZIP CODE
93,ridge_alpha_1000,565000000.0,64430092.27977445,500569907.7202256,500569907.7202256,1,FASHION,21 OFFICE BUILDINGS                        ,1250 BROADWAY,10001
106,ridge_alpha_1000,652000000.0,257662286.1998056,394337713.8001944,394337713.8001944,1,FINANCIAL,21 OFFICE BUILDINGS                        ,85 BROAD STREET,10004
599,ridge_alpha_1000,268124175.0,1223662.7209202822,266900512.2790797,266900512.2790797,1,MIDTOWN WEST,21 OFFICE BUILDINGS                        ,1706-1720 BROADWAY,10019
18490,ridge_alpha_1000,257500000.0,22604654.942143224,234895345.05785677,234895345.05785677,4,LONG ISLAND CITY,27 FACTORIES                               ,31-00 47TH   AVENUE,11101
513,ridge_alpha_1000,620000000.0,392176342.2134742,227823657.7865258,227823657.7865258,1,KIPS BAY,08 RENTALS - ELEVATOR APARTMENTS           ,460-520 2ND AVENUE,10016
58,ridge_alpha_1000,141500000.0,12555671.651931161,128944328.34806883,128944328.34806883,1,CIVIC CENTER,07 RENTALS - WALKUP APARTMENTS             ,41 WHITE STREET,10013
7826,ridge_alpha_1000,154250000.0,33977535.273499146,120272464.72650085,120272464.72650085,3,DOWNTOWN-FULTON MALL,11A CONDO-RENTALS                           ,236 LIVINGSTON STREET,11201
573,ridge_alpha_1000,131667000.0,20876514.882888447,110790485.11711155,110790485.11711155,1,MIDTOWN CBD,22 STORE BUILDINGS                         ,727 5TH AVENUE,10022
515,ridge_alpha_1000,174000000.0,67374127.30671291,106625872.69328709,106625872.69328709,1,KIPS BAY,26 OTHER HOTELS                            ,340 EAST 24TH   STREET,10010
882,ridge_alpha_1000,172500000.0,66070530.82744637,106429469.17255363,106429469.17255363,1,UPPER WEST SIDE (79-96),08 RENTALS - ELEVATOR APARTMENTS           ,21 WEST 86TH   STREET,10024
